||Temp|Hi|Low|Out|Dew|Wind|Wind|Wind|Hi|Hi|Wind|Heat|THW|THSW||SADE|SADE|Rain|Solar|Solar|Hi Solar|UV |UV |Hi |Heat|Cool|In |In|In |In |In |In Air||Wind|Wind|ISS |Arc.
Date|Time|Out|Temp|Temp|Hum|Pt.|Speed|Dir|Run|Speed|Dir|Chill|Index|Index|Index|Bar  |Tuulikorjattu|RAAKADATA|Rate|Rad.|Energy|Rad. |Index|Dose|UV |D-D |D-D |Temp|Hum|Dew|Heat|EMC|Density|ET |Samp|Tx |Recept|Int.
04.08.11|00:00:00|21.1|21.1|17.3|61|13.3|0.9|NW|3.22|3.6|NW|21.1|20.7|20.7|26.2|1001|0|0|0|466|40.08|697|---|---|---|0|0.116|36.9|15|6|34.9|3.39|11148|0|1301|1|95.1|60
26.10.11|14:00:00|1.8|2.2|1.8|95|1.1|0.4|SSW|1.61|4.5|SSW|1.8|1.8|1.8|0.1|1014.3|0|0|0|0|0|0|---|---|---|0.688|0|27.7|10|-6.7|25.4|2.3|11707|0|1133|1|82.8|60
18.01.12|06:00:00|-5.8|-5.6|-5.8|91|-7.1|2.2|SW|8.05|7.2|WNW|-9.6|-5.9|-9.7|-11.7|986|0|0|0|0|0|0|---|---|---|1007|0|29.4|1|-32.3|26.8|0.25|11352|0|1363|1|99.6|60
10.04.12|22:00:00|4.1|4.4|4.1|57|-3.7|1.3|W|4.83|4|W|3.1|3.6|2.6|0.6|988.4|0|0|0|0|0|0|---|---|---|0.595|0|38.1|1|-27.2|33.4|0.25|11062|0.03|1291|1|94.4|60
03.07.12|20:00:00|11|11.3|11|90|9.4|0|W|0|0.4|W|11|11.1|11.1|10.1|1008.1|0|0|0|9|0.77|21|---|---|---|0.306|0|35.5|12|1.7|33|2.79|11306|0|1166|1|85.2|60
28.09.12|19:40:00|6.1|6.2|6.1|89|4.4|0|---|0|0|---|6.1|6.1|6.1|4.3|984.5|0|0|0|0|0|0|---|---|---|0.085|0|31.9|9|-4.9|29.2|2.11|11199|0|228|1|100|10
12.10.12|17:30:00|4.4|4.4|4.3|78|0.9|0.9|NW|0.54|2.7|NW|4.3|4.2|4.1|2.4|998|0|0|0|15|0.22|16|---|---|---|0.097|0|27.6|7|-11.3|25.2|1.71|11536|0|227|1|99.6|10
26.10.12|15:20:00|-2.9|-2.9|-2.9|92|-4|0.9|WNW|0.54|2.7|NW|-3.7|-2.9|-3.8|-5.1|968.7|0|0|0|53|0.76|56|---|---|---|0.147|0|21.4|6|-17.7|18.3|1.54|11443|0|228|1|100|10
10.11.12|21:10:00|2.2|2.2|2.2|90|0.7|2.7|S|1.61|6.3|SSE|-0.6|2.1|-0.7|-2.5|995.7|0|0|0|0|0|0|---|---|---|0.112|0|25.3|9|-9.9|23.6|2.2|11594|0|228|1|100|10
