Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakJS134 - RH134 A1 220mm 240 EPS|2011/01/30 00:33:03|50.4|50.4|
KoeRakJS134 - RH134 A1 220mm 240 EPS|2011/08/12 08:51:15|62.4|62.4|
KoeRakJS134 - RH134 A2 340mm 240 EPS|2011/04/10 23:57:13|78|78|
KoeRakJS134 - RH134 A2 340mm 240 EPS|2011/08/22 13:51:15|79.5|79.5|
KoeRakJS134 - RH134 A3 375mm 240 EPS|2011/08/08 15:14:55|84.1|84.1|
KoeRakJS134 - RH134 Y1 220mm 240 EPS|2011/05/01 09:06:51|67|67|
KoeRakJS134 - RH134 Y1 220mm 240 EPS|2011/12/07 09:34:05|51.4|51.4|
KoeRakJS134 - RH134 Y2 340mm 240 EPS|2011/05/15 10:36:51|80.6|80.6|
KoeRakJS134 - RH134 Y2 340mm 240 EPS|2011/12/01 12:44:05|92.4|92.4|
KoeRakJS134 - T134 A1 220mm 240 EPS|2011/02/16 18:23:03|0.3|0.3|
KoeRakJS134 - T134 A1 220mm 240 EPS|2011/06/04 14:46:51|18.6|18.6|
KoeRakJS134 - T134 A1 220mm 240 EPS|2011/12/01 01:54:05|13.5|13.5|
KoeRakJS134 - T134 A2 340mm 240 EPS|2011/04/11 12:26:51|5.3|5.3|
KoeRakJS134 - T134 A2 340mm 240 EPS|2011/08/09 10:51:15|16.9|16.9|
KoeRakJS134 - T134 A3 375mm 240 EPS|2011/02/16 22:33:22|-25.3|-25.3|
KoeRakJS134 - T134 A3 375mm 240 EPS|2011/05/28 12:47:13|14.2|14.2|
KoeRakJS134 - T134 A3 375mm 240 EPS|2011/10/08 05:51:15|5.7|5.7|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2011/03/24 09:23:22|10.7|10.7|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2011/07/28 15:05:26|23.8|23.8|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/02/17 23:33:22|-25.1|-25.1|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/05/28 11:06:51|13.6|13.6|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/10/09 14:21:15|5.5|5.5|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2011/03/20 07:03:13|-1.4|-1.4|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2011/07/12 03:05:24|21|21|
