Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
Autiolahden sääasema - Ilmankosteus|2011/06/29 00:05:24|77|77|
Autiolahden sääasema - Ilmankosteus|2011/07/19 13:20:43|83|83|
Autiolahden sääasema - Ilmankosteus|2011/08/09 13:01:15|64|64|
Autiolahden sääasema - Ilmankosteus|2011/09/09 22:11:15|89|89|
Autiolahden sääasema - Ilmanpaine|2011/07/04 22:10:43|1018.1|1018.1|
Autiolahden sääasema - Ilmanpaine|2011/07/18 12:30:43|1009.4|1009.4|
Autiolahden sääasema - Ilmanpaine|2011/07/31 20:30:26|1013.8|1013.8|
Autiolahden sääasema - Ilmanpaine|2011/08/14 03:05:58|1020|1020|
Autiolahden sääasema - Ilmanpaine|2011/08/28 00:55:58|1012.6|1012.6|
Autiolahden sääasema - Ilmanpaine|2011/09/11 00:55:58|1006.2|1006.2|
Autiolahden sääasema - Ilmanpaine|2011/10/02 08:26:15|1021.2|1021.2|
Autiolahden sääasema - lämpötila|2011/07/02 20:50:24|23.5|23.5|
Autiolahden sääasema - lämpötila|2011/07/15 22:05:24|19|19|
Autiolahden sääasema - lämpötila|2011/07/27 22:45:26|21.4|21.4|
Autiolahden sääasema - lämpötila|2011/08/10 00:21:15|13.6|13.6|
Autiolahden sääasema - lämpötila|2011/08/24 18:10:58|19.6|19.6|
Autiolahden sääasema - lämpötila|2011/09/08 03:11:15|13.7|13.7|
Autiolahden sääasema - lämpötila|2011/10/04 15:31:15|13.3|13.3|
Autiolahden sääasema - sademäärä 24h|2011/08/08 01:05:26|3.1|3.1|
Autiolahden sääasema - sademäärä 24h|2011/09/29 15:46:15|7.7|7.7|
Autiolahden sääasema - Tuuli m/s|2011/07/13 18:35:43|0.33|0.33|
Autiolahden sääasema - Tuuli m/s|2011/08/02 12:34:55|0.56|0.56|
Autiolahden sääasema - Tuuli m/s|2011/08/20 20:30:58|0.15|0.15|
Autiolahden sääasema - Tuuli m/s|2011/09/17 12:36:15|0.71|0.71|
