Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/06/29 00:35:24|1018|1018.0mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/08/12 21:51:15|1008.9|1008.9mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/10/05 04:21:15|983.7|983.7mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/12/27 19:44:05|990|990.0mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2012/03/19 05:13:25|997|997.0mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2012/06/14 13:02:52|1006.9|1006.9mbar|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/07/27 22:45:26|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/09/01 03:50:58|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/10/26 21:51:15|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2012/01/07 07:14:05|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2012/03/17 14:13:25|1.3|1.3m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2012/05/28 20:32:52|1.8|1.8m/s|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/07/18 07:35:24|94|94.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/08/22 09:21:15|88|88.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/10/07 09:21:15|93|93.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/12/18 18:44:05|93|93.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2012/02/27 07:43:25|93|93.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2012/05/09 14:32:52|41|41.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/07/08 16:35:24|31.1|31.1ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/08/12 17:51:15|18.5|18.5ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/09/18 04:21:15|4.8|4.8ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/11/29 13:44:05|-0.6|-0.6ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2012/02/07 20:43:25|-17.3|-17.3ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2012/04/20 01:18:25|-1.5|-1.5ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2012/06/29 10:32:52|12.9|12.9ｰC|
